x, y, T, Tex,
0.593750, 0.328125, 0.124020, 0.124007,
0.593750, 0.343750, 0.113718, 0.113706,
0.593750, 0.359375, 0.103142, 0.103131,
0.593750, 0.375000, 0.092317, 0.092307,
0.593750, 0.390625, 0.081270, 0.081262,
0.593750, 0.406250, 0.070027, 0.070020,
0.593750, 0.421875, 0.058615, 0.058609,
0.593750, 0.437500, 0.047063, 0.047058,
0.593750, 0.453125, 0.035397, 0.035393,
0.593750, 0.468750, 0.023645, 0.023643,
0.593750, 0.484375, 0.011837, 0.011836,
0.593750, 0.500000, 0.000000, 0.000000,
0.609375, 0.000000, 0.238061, 0.238037,
0.609375, 0.015625, 0.237775, 0.237750,
0.609375, 0.031250, 0.236915, 0.236891,
0.609375, 0.046875, 0.235485, 0.235461,
0.609375, 0.062500, 0.233487, 0.233463,
0.609375, 0.078125, 0.230927, 0.230903,
0.609375, 0.093750, 0.227811, 0.227787,
0.609375, 0.109375, 0.224145, 0.224122,
0.609375, 0.125000, 0.219940, 0.219918,
0.609375, 0.140625, 0.215205, 0.215183,
0.609375, 0.156250, 0.209951, 0.209930,
0.609375, 0.171875, 0.204192, 0.204171,
0.609375, 0.187500, 0.197941, 0.197921,
0.609375, 0.203125, 0.191213, 0.191193,
0.609375, 0.218750, 0.184024, 0.184005,
0.609375, 0.234375, 0.176392, 0.176374,
0.609375, 0.250000, 0.168335, 0.168318,
0.609375, 0.265625, 0.159872, 0.159856,
0.609375, 0.281250, 0.151025, 0.151009,
0.609375, 0.296875, 0.141813, 0.141799,
0.609375, 0.312500, 0.132260, 0.132246,
0.609375, 0.328125, 0.122388, 0.122376,
0.609375, 0.343750, 0.112221, 0.112210,
0.609375, 0.359375, 0.101784, 0.101774,
0.609375, 0.375000, 0.091102, 0.091093,
0.609375, 0.390625, 0.080200, 0.080192,
0.609375, 0.406250, 0.069106, 0.069099,
0.609375, 0.421875, 0.057844, 0.057838,
0.609375, 0.437500, 0.046443, 0.046439,
0.609375, 0.453125, 0.034931, 0.034927,
0.609375, 0.468750, 0.023334, 0.023332,
0.609375, 0.484375, 0.011681, 0.011680,
0.609375, 0.500000, 0.000000, 0.000000,
0.625000, 0.000000, 0.234399, 0.234375,
0.625000, 0.015625, 0.234116, 0.234093,
0.625000, 0.031250, 0.233270, 0.233246,
0.625000, 0.046875, 0.231862, 0.231838,
0.625000, 0.062500, 0.229895, 0.229872,
0.625000, 0.078125, 0.227374, 0.227351,
0.625000, 0.093750, 0.224306, 0.224283,
0.625000, 0.109375, 0.220697, 0.220674,
0.625000, 0.125000, 0.216556, 0.216534,
0.625000, 0.140625, 0.211894, 0.211872,
0.625000, 0.156250, 0.206721, 0.206700,
0.625000, 0.171875, 0.201051, 0.201030,
0.625000, 0.187500, 0.194896, 0.194876,
0.625000, 0.203125, 0.188271, 0.188252,
0.625000, 0.218750, 0.181193, 0.181174,
